user_id,we_id,first_name,last_name,email,phone,gender,birth_date,city,region,country,country_code,created_at,updated_at,first_seen,last_seen,opt_in_email,opt_in_sms,opt_in_push,opt_in_whatsapp,total_revenue,total_orders,avg_order_value,last_order_date,custom_attributes
we_cust3746317213,WE5407378185,Alice,Kim,user0@example.com,+15552392894,female,,London,Greater London,United Kingdom,AU,2023-02-06 21:05:45,2024-01-21 20:06:04,2022-12-06 06:23:38,2024-09-02 22:15:48,True,False,True,True,370.97,1,89.22,2024-06-22 21:45:21,{}
we_cust9697354961,WE9531135921,Eve,Jones,user1@example.com,+15553894245,female,,Los Angeles,NSW,United Kingdom,CA,2022-05-10 05:20:25,2024-10-31 15:29:55,2022-02-07 19:58:44,2024-10-04 21:07:35,True,True,True,False,263.46,5,64.13,2025-01-11 21:28:13,{}
we_cust2181241943,WE3733827094,Carol,Smith,user2@example.com,+15557451367,female,,New York,Greater London,Canada,CA,2022-01-05 08:38:10,2024-06-27 19:11:34,2022-10-27 15:28:44,2024-07-23 19:00:07,True,True,False,False,681.38,8,48.13,2025-02-10 16:58:19,{}
we_cust1958682846,WE9957515901,Alice,Jones,user3@example.com,+15557827336,female,,New York,NY,United States,GB,2022-12-02 17:16:04,2024-03-11 05:42:48,2022-05-29 03:46:00,2024-12-15 19:14:12,True,True,False,False,435.45,3,105.95,2024-02-09 08:16:08,{}
we_cust4163119785,WE2343322271,Eve,Patel,user4@example.com,+15558230723,male,,London,Greater London,United Kingdom,US,2023-07-26 16:47:58,2024-05-07 00:13:49,2022-03-05 19:22:34,2024-06-08 02:33:02,True,True,False,True,466.96,2,41.54,2024-02-02 04:44:26,{}
we_cust9963334018,WE6568133246,David,Smith,user5@example.com,+15556410643,male,,Sydney,Greater London,United Kingdom,US,2023-07-01 23:41:08,2024-12-04 21:34:54,2022-11-02 07:48:23,2024-06-29 01:23:52,True,True,True,False,675.14,1,91.52,2024-08-19 14:26:28,{}
we_cust2812140441,WE7027420113,Carol,Chen,user6@example.com,+15555731339,male,,New York,NY,Canada,AU,2022-12-12 04:48:19,2025-02-28 04:35:45,2022-03-25 07:39:44,2024-09-03 02:44:48,True,True,True,True,277.48,5,55.27,2024-09-13 09:09:18,{}
we_cust1127978094,WE7955290481,Carol,Kim,user7@example.com,+15554059055,female,,Sydney,NSW,United States,US,2022-06-20 20:20:28,2025-02-10 04:54:00,2022-09-09 02:49:23,2024-07-13 20:26:48,True,False,True,True,117.09,10,78.56,2024-06-15 12:05:27,{}
we_cust1939042955,WE6199772412,Bob,Jones,user8@example.com,+15552562712,female,,London,Greater London,United States,GB,2022-05-12 23:15:46,2024-07-27 01:07:10,2022-07-22 23:46:54,2024-06-23 10:55:10,True,True,True,False,527.56,4,55.68,2024-06-10 17:05:50,{}
we_cust9703905715,WE5202095050,Carol,Smith,user9@example.com,+15554778564,female,,Toronto,NSW,India,GB,2022-07-20 13:02:36,2024-12-01 06:20:07,2022-09-02 10:54:02,2025-01-02 05:50:17,True,False,True,False,384.51,1,82.7,2024-09-23 21:41:37,{}
we_cust7635473142,WE2230355931,Carol,Chen,user10@example.com,+15554033633,male,,Los Angeles,ON,Australia,GB,2023-09-14 11:09:41,2024-06-20 20:09:12,2022-12-14 20:25:03,2024-12-07 21:29:43,True,False,True,True,612.74,7,80.75,2025-02-04 03:05:04,{}
we_cust6241752544,WE9500001177,Eve,Smith,user11@example.com,+15558445897,female,,London,CA,India,US,2022-06-13 03:11:38,2025-02-03 23:28:40,2022-02-17 17:37:50,2024-09-02 00:14:22,False,False,True,True,354.19,3,51.59,2024-11-26 15:41:25,{}
we_cust7825844140,WE9038197479,Eve,Chen,user12@example.com,+15556281791,male,,Toronto,ON,India,AU,2022-04-16 09:49:05,2024-10-07 12:08:14,2022-05-24 12:23:34,2024-10-25 20:17:18,True,False,False,False,150.09,9,78.5,2024-02-17 16:32:54,{}
we_cust4460967357,WE8030174759,Alice,Jones,user13@example.com,+15558276587,unknown,,London,NSW,United States,GB,2023-05-11 04:50:54,2024-12-17 10:41:47,2022-04-25 03:58:35,2024-07-22 07:15:19,True,True,True,False,363.74,3,55.2,2024-06-05 06:02:54,{}
we_cust8293453178,WE1738558701,Carol,Patel,user14@example.com,+15553100457,unknown,,New York,NSW,United Kingdom,US,2022-12-18 21:49:59,2024-12-02 05:27:31,2022-03-15 14:36:49,2024-10-15 04:58:02,True,False,True,True,625.0,1,119.35,2024-01-26 19:49:13,{}
we_cust6756332150,WE4147500752,David,Chen,user15@example.com,+15551890740,unknown,,Sydney,NY,United Kingdom,CA,2023-04-16 15:24:18,2025-02-09 00:27:27,2022-09-10 09:09:06,2024-11-27 19:43:04,True,True,True,True,519.27,2,111.11,2025-02-04 21:47:44,{}
we_cust1667779376,WE8573516592,Eve,Kim,user16@example.com,+15554798826,unknown,,Sydney,NSW,United Kingdom,CA,2023-08-14 21:44:46,2025-02-14 11:40:06,2022-02-19 12:22:39,2024-07-26 04:00:55,False,False,False,False,543.12,2,48.84,2024-04-12 12:17:35,{}
we_cust2445662585,WE6321273859,Eve,Chen,user17@example.com,+15552385044,unknown,,Sydney,CA,United States,US,2022-11-01 08:36:50,2024-06-12 17:05:28,2022-01-15 22:51:54,2025-02-07 19:46:18,True,False,True,True,445.85,9,52.77,2024-03-11 17:20:14,{}
we_cust5693307665,WE2244374138,Alice,Patel,user18@example.com,+15555281134,female,,New York,ON,United States,GB,2022-06-17 04:56:29,2024-04-30 15:00:06,2022-06-30 17:28:44,2024-12-14 10:07:46,True,True,True,False,668.02,8,101.54,2025-02-18 03:30:45,{}
