id,email,first_name,last_name,phone,verified_email,tax_exempt,tags,currency,accepts_marketing,accepts_marketing_updated_at,marketing_opt_in_level,state,note,addresses,default_address,orders_count,total_spent,last_order_id,last_order_name,created_at,updated_at
cust3746317213,user0@example.com,David,Lee,+15556484082,True,False,,USD,False,2022-02-02 16:42:01,single_opt_in,enabled,,[],{},0,0.0,,,2022-02-02 16:42:01,2022-02-02 16:42:01
cust9697354961,user1@example.com,David,Smith,+15553319875,True,False,,USD,True,2023-04-27 19:36:40,single_opt_in,enabled,,[],{},0,0.0,,,2023-04-27 19:36:40,2023-04-27 19:36:40
cust2181241943,user2@example.com,Eve,Chen,+15559706450,True,False,,USD,False,2022-09-11 02:02:50,single_opt_in,enabled,,[],{},0,0.0,,,2022-09-11 02:02:50,2022-09-11 02:02:50
cust1958682846,user3@example.com,David,White,+15555077319,True,False,,USD,True,2022-10-04 02:24:49,single_opt_in,enabled,,[],{},0,0.0,,,2022-10-04 02:24:49,2022-10-04 02:24:49
cust4163119785,user4@example.com,Carol,Jones,+15553192250,True,False,,USD,True,2023-09-05 08:44:30,single_opt_in,enabled,,[],{},0,0.0,,,2023-09-05 08:44:30,2023-09-05 08:44:30
cust9963334018,user5@example.com,Eve,Lee,+15553503824,True,False,,USD,True,2024-12-03 18:53:33,single_opt_in,enabled,,[],{},0,0.0,,,2024-12-03 18:53:33,2024-12-03 18:53:33
cust2812140441,user6@example.com,Eve,Taylor,+15551471076,True,False,,USD,True,2024-08-02 05:14:58,single_opt_in,enabled,,[],{},0,0.0,,,2024-08-02 05:14:58,2024-08-02 05:14:58
cust1127978094,user7@example.com,Hank,Patel,+15552653502,True,False,,USD,True,2022-10-19 19:28:54,single_opt_in,enabled,,[],{},0,0.0,,,2022-10-19 19:28:54,2022-10-19 19:28:54
cust1939042955,user8@example.com,Eve,Taylor,+15553260164,True,False,,USD,True,2022-04-18 21:26:14,single_opt_in,enabled,,[],{},0,0.0,,,2022-04-18 21:26:14,2022-04-18 21:26:14
cust9703905715,user9@example.com,Bob,Chen,+15557112061,True,False,,USD,False,2022-08-11 22:54:05,single_opt_in,enabled,,[],{},0,0.0,,,2022-08-11 22:54:05,2022-08-11 22:54:05
cust7635473142,user10@example.com,Hank,Patel,+15557662764,True,False,,USD,True,2022-04-22 22:10:11,single_opt_in,enabled,,[],{},0,0.0,,,2022-04-22 22:10:11,2022-04-22 22:10:11
cust6241752544,user11@example.com,Frank,Smith,+15551910845,True,False,,USD,True,2023-10-25 09:09:32,single_opt_in,enabled,,[],{},0,0.0,,,2023-10-25 09:09:32,2023-10-25 09:09:32
cust7825844140,user12@example.com,Jake,Chen,+15554161506,True,False,,USD,True,2023-01-16 23:43:32,single_opt_in,enabled,,[],{},0,0.0,,,2023-01-16 23:43:32,2023-01-16 23:43:32
cust4460967357,user13@example.com,Frank,White,+15553906926,True,False,,USD,False,2023-12-08 20:31:48,single_opt_in,enabled,,[],{},0,0.0,,,2023-12-08 20:31:48,2023-12-08 20:31:48
cust8293453178,user14@example.com,Frank,Brown,+15551631781,True,False,,USD,True,2024-09-29 03:46:13,single_opt_in,enabled,,[],{},0,0.0,,,2024-09-29 03:46:13,2024-09-29 03:46:13
cust6756332150,user15@example.com,Iris,Wilson,+15551746009,True,False,,USD,True,2023-09-18 06:26:52,single_opt_in,enabled,,[],{},0,0.0,,,2023-09-18 06:26:52,2023-09-18 06:26:52
cust1667779376,user16@example.com,Hank,Jones,+15555451189,True,False,,USD,False,2022-06-05 16:59:12,single_opt_in,enabled,,[],{},0,0.0,,,2022-06-05 16:59:12,2022-06-05 16:59:12
cust2445662585,user17@example.com,Carol,Patel,+15559203143,True,False,,USD,True,2024-03-29 07:43:40,single_opt_in,enabled,,[],{},0,0.0,,,2024-03-29 07:43:40,2024-03-29 07:43:40
cust5693307665,user18@example.com,Alice,Jones,+15558811505,True,False,,USD,True,2022-08-02 06:35:25,single_opt_in,enabled,,[],{},0,0.0,,,2022-08-02 06:35:25,2022-08-02 06:35:25
cust5710360983,user19@example.com,Jake,Kim,+15559701066,True,False,,USD,True,2022-01-19 07:30:29,single_opt_in,enabled,,[],{},0,0.0,,,2022-01-19 07:30:29,2022-01-19 07:30:29
cust8934927891,user20@example.com,Grace,Taylor,+15559446669,True,False,,USD,True,2024-07-26 04:24:45,single_opt_in,enabled,,[],{},0,0.0,,,2024-07-26 04:24:45,2024-07-26 04:24:45
cust7887950851,user21@example.com,Carol,Taylor,+15559487851,True,False,,USD,False,2022-06-04 22:12:06,single_opt_in,enabled,,[],{},0,0.0,,,2022-06-04 22:12:06,2022-06-04 22:12:06
cust4466589567,user22@example.com,Iris,Kim,+15558354627,True,False,,USD,True,2023-08-11 00:12:21,single_opt_in,enabled,,[],{},0,0.0,,,2023-08-11 00:12:21,2023-08-11 00:12:21
cust8429141456,user23@example.com,Jake,Smith,+15556860498,True,False,,USD,True,2023-08-20 12:12:19,single_opt_in,enabled,,[],{},0,0.0,,,2023-08-20 12:12:19,2023-08-20 12:12:19
cust3303082117,user24@example.com,David,Wilson,+15554533042,True,False,,USD,False,2022-02-02 04:20:43,single_opt_in,enabled,,[],{},0,0.0,,,2022-02-02 04:20:43,2022-02-02 04:20:43
cust2625792787,user25@example.com,Grace,Patel,+15557244360,True,False,,USD,False,2022-06-20 22:25:16,single_opt_in,enabled,,[],{},0,0.0,,,2022-06-20 22:25:16,2022-06-20 22:25:16
cust7665963761,user26@example.com,Frank,Wilson,+15559629101,True,False,,USD,True,2022-01-22 01:15:26,single_opt_in,enabled,,[],{},0,0.0,,,2022-01-22 01:15:26,2022-01-22 01:15:26
cust8995970241,user27@example.com,Eve,Smith,+15556995577,True,False,,USD,True,2024-09-28 04:02:04,single_opt_in,enabled,,[],{},0,0.0,,,2024-09-28 04:02:04,2024-09-28 04:02:04
cust3479708607,user28@example.com,David,Chen,+15554098017,True,False,,USD,False,2022-03-09 22:44:49,single_opt_in,enabled,,[],{},0,0.0,,,2022-03-09 22:44:49,2022-03-09 22:44:49
cust4026113008,user29@example.com,Frank,Patel,+15554972775,True,False,,USD,True,2022-07-25 07:59:31,single_opt_in,enabled,,[],{},0,0.0,,,2022-07-25 07:59:31,2022-07-25 07:59:31
cust9786748825,user30@example.com,Iris,Kim,+15559975635,True,False,,USD,False,2023-01-21 18:53:45,single_opt_in,enabled,,[],{},0,0.0,,,2023-01-21 18:53:45,2023-01-21 18:53:45
cust5728765136,user31@example.com,Iris,Brown,+15557616024,True,False,,USD,True,2022-05-10 20:40:04,single_opt_in,enabled,,[],{},0,0.0,,,2022-05-10 20:40:04,2022-05-10 20:40:04
cust6488854841,user32@example.com,Eve,White,+15552021413,True,False,,USD,False,2023-02-20 18:57:24,single_opt_in,enabled,,[],{},0,0.0,,,2023-02-20 18:57:24,2023-02-20 18:57:24
cust2566942273,user33@example.com,Bob,Taylor,+15551678433,True,False,,USD,True,2022-08-10 13:50:26,single_opt_in,enabled,,[],{},0,0.0,,,2022-08-10 13:50:26,2022-08-10 13:50:26
cust6884882440,user34@example.com,Iris,Kim,+15554388917,True,False,,USD,False,2024-09-01 14:35:05,single_opt_in,enabled,,[],{},0,0.0,,,2024-09-01 14:35:05,2024-09-01 14:35:05
cust3783290795,user35@example.com,David,Taylor,+15551290866,True,False,,USD,True,2024-07-20 12:05:40,single_opt_in,enabled,,[],{},0,0.0,,,2024-07-20 12:05:40,2024-07-20 12:05:40
cust4131575764,user36@example.com,Eve,Jones,+15555666250,True,False,,USD,True,2022-01-21 23:12:03,single_opt_in,enabled,,[],{},0,0.0,,,2022-01-21 23:12:03,2022-01-21 23:12:03
cust5996775663,user37@example.com,David,Jones,+15556068456,True,False,,USD,False,2022-01-15 14:18:52,single_opt_in,enabled,,[],{},0,0.0,,,2022-01-15 14:18:52,2022-01-15 14:18:52
cust6924716023,user38@example.com,Hank,Patel,+15554964243,True,False,,USD,True,2022-06-15 04:36:11,single_opt_in,enabled,,[],{},0,0.0,,,2022-06-15 04:36:11,2022-06-15 04:36:11
cust3392080953,user39@example.com,Eve,Patel,+15557507061,True,False,,USD,True,2024-04-22 13:01:31,single_opt_in,enabled,,[],{},0,0.0,,,2024-04-22 13:01:31,2024-04-22 13:01:31
cust8235363119,user40@example.com,Alice,Patel,+15552375897,True,False,,USD,False,2023-06-10 16:05:25,single_opt_in,enabled,,[],{},0,0.0,,,2023-06-10 16:05:25,2023-06-10 16:05:25
cust4332894265,user41@example.com,Bob,White,+15556381025,True,False,,USD,True,2022-05-12 23:43:55,single_opt_in,enabled,,[],{},0,0.0,,,2022-05-12 23:43:55,2022-05-12 23:43:55
cust6649827836,user42@example.com,Iris,White,+15552836783,True,False,,USD,False,2022-11-11 07:05:51,single_opt_in,enabled,,[],{},0,0.0,,,2022-11-11 07:05:51,2022-11-11 07:05:51
cust2149938334,user43@example.com,Carol,Smith,+15558721122,True,False,,USD,True,2022-08-05 06:52:27,single_opt_in,enabled,,[],{},0,0.0,,,2022-08-05 06:52:27,2022-08-05 06:52:27
cust2351531223,user44@example.com,Hank,Taylor,+15552114148,True,False,,USD,True,2024-01-17 07:33:29,single_opt_in,enabled,,[],{},0,0.0,,,2024-01-17 07:33:29,2024-01-17 07:33:29
cust8110054933,user45@example.com,Carol,Taylor,+15556819805,True,False,,USD,True,2024-05-24 08:36:53,single_opt_in,enabled,,[],{},0,0.0,,,2024-05-24 08:36:53,2024-05-24 08:36:53
cust2970753705,user46@example.com,Hank,Brown,+15553734765,True,False,,USD,False,2023-11-22 05:40:52,single_opt_in,enabled,,[],{},0,0.0,,,2023-11-22 05:40:52,2023-11-22 05:40:52
cust2137651678,user47@example.com,Jake,Wilson,+15554524077,True,False,,USD,True,2022-09-11 10:27:56,single_opt_in,enabled,,[],{},0,0.0,,,2022-09-11 10:27:56,2022-09-11 10:27:56
